s1_entity_id	missed_entity_id	source	s1_business_name	s1_business_address	s1_country	target_business_name	target_business_address	target_country
S1-7293388	S2-157073701	Source 2	Chordia & Partners	Faridabad, 1038 Sector 9, Haryana	India	Chordia &-Pártners Ltd	H.NO 1038 SECTOR 9, FARIABAD, Haryana	India
S1-7293388	S2-442723188	Source 2	Chordia & Partners	Faridabad, 1038 Sector 9, Haryana	India	Chordia + Pagnters - 7306204978	हरियाणा, DOOR NO 1038 SECTOR 9, FARIDABAD	India
S1-292935703	S3-421403180	Source 3	Cozy Grill	617 Fourth Street, Watseka, IL	US	Cozy [Gríll]	Fourth Saint, Watseka, Illinois	US
S1-292935703	S3-942647343	Source 3	Cozy Grill	617 Fourth Street, Watseka, IL	US	Cozy Gle	617 4th Street, Watseka, Illinois	US
S1-463669205	S2-301757320	Source 2	Beacon Municipals LLC	15602 60, Borden, IN	US	Beacon Mumnicilpas LLC	1560 60, BORDEN, IN	US
S1-957102563	S3-368033022	Source 3	Vadodara Industries Pvt Ltd	5Th Floor, E/504-A, Lalita Tower Jetalpur Road, Vadodara, Gujarat	India	vadodaraindustries.com	Door No #5Th Floor, E/504-a, Lalita Tower Jetalpur Road, Baroda, Vadodara, ગુજરાત	India
S1-83647344	S3-383555916	Source 3	New India Private Limited	Fl 401, Telangana, Sri Niketan Abhinandana Aprt. Ayyappa Society, Nr.Cgr Int. Pl.250 251, Madhapur, Hyderabad, Rangareddy	India	@newindia	Rangareddy, #240 Fl 401, Hyderabad, Sri Niketan Abhinandana Aprt. Ayyappa Society, Nr.cgr Int. Pl.250 251, Madhapur, Andhra Pradesh	India
S1-83647344	S3-175231511	Source 3	New India Private Limited	Fl 401, Telangana, Sri Niketan Abhinandana Aprt. Ayyappa Society, Nr.Cgr Int. Pl.250 251, Madhapur, Hyderabad, Rangareddy	India	New Private Limited 5ervices		India
S1-557991692	S3-176178171	Source 3	Vinay Tele	48 Manuja Bhavancentral Avenue Road, Nagpur, Maharashtra	India	vinaytele.com	Nagpur, 48 Manuja Bhavancentral Avenue Road, MH, Nagpur	India
S1-557991692	S2-88682972	Source 2	Vinay Tele	48 Manuja Bhavancentral Avenue Road, Nagpur, Maharashtra	India	Vinay Toetle		India
